filename,label
1296566.pcap,malware_ddos
1296918.pcap,malware_ddos
1297345.pcap,PortScan
129742.pcap,BENIGN
1297721.pcap,malware_ddos
129903.pcap,PortScan
129939.pcap,BENIGN
129974.pcap,BENIGN
1299938.pcap,PortScan
1299976.pcap,malware_ddos
1306671.pcap,malware_ddos
1308537.pcap,PortScan
131122.pcap,BENIGN
1312111.pcap,PortScan
1312525.pcap,malware_ddos
131404.pcap,BENIGN
1314068.pcap,PortScan
1315453.pcap,malware_ddos
13181.pcap,BENIGN
131826.pcap,BENIGN
1320447.pcap,malware_ddos
1320841.pcap,malware_ddos
132263.pcap,BENIGN
1323623.pcap,malware_ddos
1325859.pcap,malware_ddos
1328373.pcap,malware_ddos
1330280.pcap,malware_ddos
133325.pcap,PortScan
1333859.pcap,malware_ddos
1333880.pcap,malware_ddos
1338418.pcap,PortScan
133842.pcap,BENIGN
133850.pcap,BENIGN
1339979.pcap,PortScan
1341409.pcap,PortScan
134494.pcap,PortScan
134715.pcap,BENIGN
134821.pcap,BENIGN
1349400.pcap,malware_ddos
1352617.pcap,PortScan
1353017.pcap,malware_ddos
13546.pcap,PortScan
1355207.pcap,PortScan
1355664.pcap,PortScan
135627.pcap,BENIGN
1356424.pcap,PortScan
1358754.pcap,malware_ddos
1360109.pcap,PortScan
136149.pcap,BENIGN
1363880.pcap,PortScan
1365115.pcap,PortScan
1365939.pcap,malware_ddos
1367942.pcap,PortScan
1369714.pcap,malware_ddos
1370493.pcap,PortScan
137292.pcap,BENIGN
1374609.pcap,malware_ddos
1374898.pcap,PortScan
1374901.pcap,PortScan
137613.pcap,BENIGN
137686.pcap,BENIGN
137696.pcap,BENIGN
137804.pcap,BENIGN
1378547.pcap,PortScan
138436.pcap,BENIGN
138615.pcap,BENIGN
1386407.pcap,malware_ddos
1386592.pcap,malware_ddos
138679.pcap,BENIGN
1386958.pcap,PortScan
1388095.pcap,malware_ddos
1389248.pcap,PortScan
1389951.pcap,PortScan
1390892.pcap,PortScan
139151.pcap,BENIGN
1392645.pcap,malware_ddos
1394854.pcap,malware_ddos
1395113.pcap,malware_ddos
13954.pcap,PortScan
1396038.pcap,PortScan
1396210.pcap,malware_ddos
1396269.pcap,PortScan
139636.pcap,BENIGN
139948.pcap,BENIGN
1399764.pcap,malware_ddos
1400047.pcap,PortScan
1400062.pcap,PortScan
140113.pcap,BENIGN
1402088.pcap,malware_ddos
1402362.pcap,PortScan
1404223.pcap,PortScan
1405444.pcap,PortScan
140633.pcap,PortScan
1407972.pcap,PortScan
140849.pcap,BENIGN
1410656.pcap,malware_ddos
1411291.pcap,PortScan
1411883.pcap,PortScan
1414199.pcap,PortScan
141548.pcap,BENIGN
141782.pcap,BENIGN
141790.pcap,BENIGN
141857.pcap,BENIGN
1419717.pcap,PortScan
142019.pcap,BENIGN
1421974.pcap,PortScan
142243.pcap,BENIGN
1423453.pcap,PortScan
1425361.pcap,malware_ddos
1425370.pcap,malware_ddos
1426065.pcap,PortScan
1426646.pcap,PortScan
142712.pcap,BENIGN
142917.pcap,BENIGN
1432053.pcap,PortScan
1432195.pcap,PortScan
143574.pcap,BENIGN
143610.pcap,BENIGN
1436191.pcap,malware_ddos
1436279.pcap,malware_ddos
143697.pcap,BENIGN
1437008.pcap,PortScan
1437215.pcap,malware_ddos
1437329.pcap,PortScan
143747.pcap,BENIGN
1437843.pcap,PortScan
143845.pcap,BENIGN
1438849.pcap,PortScan
1440484.pcap,PortScan
1440547.pcap,PortScan
1441004.pcap,malware_ddos
1443828.pcap,malware_ddos
144607.pcap,BENIGN
1447020.pcap,PortScan
144803.pcap,BENIGN
144806.pcap,BENIGN
1448292.pcap,malware_ddos
1450713.pcap,PortScan
1455151.pcap,PortScan
1456172.pcap,PortScan
1456951.pcap,PortScan
1459929.pcap,PortScan
146166.pcap,malware_ddos
1462935.pcap,malware_ddos
146372.pcap,BENIGN
1466878.pcap,PortScan
1467188.pcap,malware_ddos
1467678.pcap,PortScan
146782.pcap,BENIGN
146862.pcap,BENIGN
1471394.pcap,PortScan
1471631.pcap,malware_ddos
1479639.pcap,PortScan
148044.pcap,BENIGN
148167.pcap,PortScan
1483333.pcap,PortScan
1483643.pcap,PortScan
1484711.pcap,malware_ddos
1485132.pcap,malware_ddos
14853.pcap,BENIGN
1487065.pcap,PortScan
148782.pcap,BENIGN
148858.pcap,BENIGN
1489603.pcap,PortScan
1491674.pcap,PortScan
149178.pcap,BENIGN
1494560.pcap,PortScan
1497281.pcap,PortScan
1497639.pcap,PortScan
1502898.pcap,PortScan
1504510.pcap,malware_ddos
1504950.pcap,malware_ddos
1505630.pcap,malware_ddos
150565.pcap,BENIGN
150566.pcap,BENIGN
1505864.pcap,malware_ddos
1506162.pcap,PortScan
15078.pcap,BENIGN
150877.pcap,BENIGN
151186.pcap,BENIGN
1511959.pcap,malware_ddos
1515410.pcap,malware_ddos
151864.pcap,BENIGN
151954.pcap,BENIGN
1519788.pcap,malware_ddos
152157.pcap,BENIGN
1521783.pcap,PortScan
152354.pcap,BENIGN
1523651.pcap,PortScan
1524414.pcap,PortScan
1525200.pcap,PortScan
153070.pcap,BENIGN
153105.pcap,BENIGN
1533773.pcap,malware_ddos
153667.pcap,BENIGN
1538720.pcap,PortScan
1539675.pcap,PortScan
1540677.pcap,PortScan
15431.pcap,BENIGN
1543372.pcap,PortScan
1545594.pcap,PortScan
1547924.pcap,PortScan
154947.pcap,BENIGN
1552160.pcap,PortScan
1553360.pcap,PortScan
1553434.pcap,malware_ddos
1555610.pcap,malware_ddos
155575.pcap,BENIGN
1555911.pcap,PortScan
15563.pcap,BENIGN
1557457.pcap,malware_ddos
1558532.pcap,PortScan
15587.pcap,BENIGN
1559315.pcap,malware_ddos
1563739.pcap,malware_ddos
1564329.pcap,PortScan
1564466.pcap,malware_ddos
156534.pcap,BENIGN
1565416.pcap,PortScan
1566666.pcap,malware_ddos
1567534.pcap,PortScan
156833.pcap,BENIGN
156864.pcap,BENIGN
1572475.pcap,PortScan
157505.pcap,BENIGN
157556.pcap,BENIGN
1577788.pcap,PortScan
157959.pcap,BENIGN
1580079.pcap,PortScan
1580685.pcap,malware_ddos
158130.pcap,BENIGN
1582028.pcap,PortScan
158245.pcap,BENIGN
1582634.pcap,PortScan
1583930.pcap,malware_ddos
1586744.pcap,PortScan
1586989.pcap,malware_ddos
1588728.pcap,malware_ddos
1589333.pcap,malware_ddos
159164.pcap,BENIGN
159191.pcap,BENIGN
1592030.pcap,PortScan
1593449.pcap,PortScan
159694.pcap,BENIGN
160238.pcap,PortScan
1604309.pcap,PortScan
160545.pcap,BENIGN
1607693.pcap,malware_ddos
160959.pcap,PortScan
1611130.pcap,malware_ddos
1611134.pcap,PortScan
161319.pcap,BENIGN
1614320.pcap,malware_ddos
1615152.pcap,PortScan
1620614.pcap,PortScan
1623292.pcap,malware_ddos
1624075.pcap,malware_ddos
1624499.pcap,malware_ddos
1624897.pcap,malware_ddos
162537.pcap,BENIGN
162752.pcap,BENIGN
1628184.pcap,malware_ddos
1630632.pcap,malware_ddos
1632225.pcap,malware_ddos
1634041.pcap,PortScan
1634291.pcap,malware_ddos
1634594.pcap,malware_ddos
1638304.pcap,malware_ddos
1638780.pcap,PortScan
1641467.pcap,malware_ddos
1642240.pcap,malware_ddos
1643559.pcap,PortScan
164387.pcap,BENIGN
164420.pcap,BENIGN
1644488.pcap,PortScan
1645525.pcap,malware_ddos
1645528.pcap,malware_ddos
1645541.pcap,malware_ddos
1645556.pcap,malware_ddos
1646225.pcap,PortScan
1646694.pcap,malware_ddos
1647172.pcap,malware_ddos
1647389.pcap,malware_ddos
164849.pcap,BENIGN
1649033.pcap,malware_ddos
165137.pcap,BENIGN
165185.pcap,BENIGN
1652490.pcap,PortScan
1653385.pcap,PortScan
1655516.pcap,PortScan
1655826.pcap,malware_ddos
1656009.pcap,malware_ddos
1657683.pcap,PortScan
1658163.pcap,malware_ddos
1658186.pcap,malware_ddos
1662428.pcap,malware_ddos
1664291.pcap,malware_ddos
1664849.pcap,malware_ddos
166853.pcap,malware_ddos
1670123.pcap,malware_ddos
167109.pcap,BENIGN
1671558.pcap,PortScan
1672251.pcap,malware_ddos
16724.pcap,BENIGN
1674013.pcap,malware_ddos
1676002.pcap,PortScan
1676973.pcap,PortScan
1677125.pcap,PortScan
1679074.pcap,malware_ddos
167927.pcap,BENIGN
1681146.pcap,PortScan
168216.pcap,PortScan
1683149.pcap,PortScan
1684536.pcap,malware_ddos
1684920.pcap,PortScan
1685244.pcap,PortScan
168755.pcap,BENIGN
1688544.pcap,PortScan
168864.pcap,BENIGN
1688709.pcap,malware_ddos
1690798.pcap,malware_ddos
1691751.pcap,malware_ddos
1691865.pcap,PortScan
1692253.pcap,malware_ddos
1692404.pcap,malware_ddos
169563.pcap,BENIGN
1698648.pcap,malware_ddos
1699095.pcap,malware_ddos
169958.pcap,BENIGN
1700505.pcap,PortScan
1701123.pcap,PortScan
1703414.pcap,malware_ddos
170399.pcap,BENIGN
170561.pcap,BENIGN
17069.pcap,BENIGN
1710106.pcap,malware_ddos
171066.pcap,BENIGN
171414.pcap,BENIGN
171426.pcap,BENIGN
1714587.pcap,malware_ddos
1715211.pcap,malware_ddos
171539.pcap,BENIGN
1716767.pcap,PortScan
1717356.pcap,malware_ddos
1717768.pcap,PortScan
1717790.pcap,malware_ddos
1720851.pcap,PortScan
172116.pcap,BENIGN
172216.pcap,BENIGN
1723153.pcap,malware_ddos
17266.pcap,BENIGN
173107.pcap,BENIGN
17314.pcap,BENIGN
1735604.pcap,malware_ddos
1738459.pcap,malware_ddos
173857.pcap,BENIGN
1740793.pcap,PortScan
174139.pcap,BENIGN
1742.pcap,BENIGN
1743664.pcap,malware_ddos
1745078.pcap,malware_ddos
1745379.pcap,malware_ddos
1749992.pcap,malware_ddos
1753824.pcap,PortScan
175469.pcap,BENIGN
175525.pcap,BENIGN
175641.pcap,BENIGN
175872.pcap,BENIGN
175921.pcap,BENIGN
1761092.pcap,malware_ddos
176218.pcap,BENIGN
176227.pcap,BENIGN
176372.pcap,BENIGN
1764778.pcap,PortScan
1764933.pcap,PortScan
1766498.pcap,malware_ddos
17667.pcap,PortScan
1768617.pcap,PortScan
176911.pcap,BENIGN
1770332.pcap,PortScan
177100.pcap,malware_ddos
177274.pcap,BENIGN
177431.pcap,BENIGN
1775322.pcap,PortScan
177613.pcap,malware_ddos
177745.pcap,PortScan
1777901.pcap,PortScan
1782164.pcap,malware_ddos
1782167.pcap,PortScan
1782361.pcap,malware_ddos
1782979.pcap,malware_ddos
178350.pcap,BENIGN
178428.pcap,BENIGN
178446.pcap,BENIGN
17859.pcap,malware_ddos
17888.pcap,BENIGN
178944.pcap,BENIGN
1789688.pcap,malware_ddos
179170.pcap,PortScan
1794713.pcap,PortScan
1799047.pcap,PortScan
1799344.pcap,PortScan
1800037.pcap,malware_ddos
1802813.pcap,malware_ddos
18031.pcap,PortScan
1804788.pcap,PortScan
1810355.pcap,malware_ddos
1811527.pcap,PortScan
18156.pcap,BENIGN
181597.pcap,BENIGN
181649.pcap,BENIGN
181786.pcap,BENIGN
181787.pcap,BENIGN
1818625.pcap,malware_ddos
1820394.pcap,malware_ddos
1828145.pcap,PortScan
1828304.pcap,PortScan
1828476.pcap,malware_ddos
1829040.pcap,malware_ddos
1829779.pcap,malware_ddos
182986.pcap,BENIGN
1831159.pcap,malware_ddos
1831447.pcap,PortScan
1832012.pcap,PortScan
1832724.pcap,malware_ddos
1834659.pcap,PortScan
183499.pcap,BENIGN
1840451.pcap,PortScan
1840539.pcap,PortScan
1840612.pcap,malware_ddos
1842398.pcap,PortScan
184281.pcap,BENIGN
1846589.pcap,PortScan
1847971.pcap,malware_ddos
1849412.pcap,malware_ddos
185053.pcap,BENIGN
185097.pcap,BENIGN
185216.pcap,BENIGN
1854654.pcap,PortScan
1855583.pcap,malware_ddos
185674.pcap,BENIGN
1857361.pcap,malware_ddos
185747.pcap,BENIGN
1859267.pcap,malware_ddos
1859517.pcap,malware_ddos
186112.pcap,BENIGN
1862977.pcap,PortScan
186453.pcap,BENIGN
1864896.pcap,malware_ddos
1865462.pcap,PortScan
186552.pcap,BENIGN
1870002.pcap,PortScan
1870141.pcap,PortScan
1873159.pcap,malware_ddos
187404.pcap,PortScan
187497.pcap,BENIGN
1875394.pcap,PortScan
1875533.pcap,malware_ddos
1876056.pcap,PortScan
1879960.pcap,malware_ddos
1880111.pcap,PortScan
1880201.pcap,malware_ddos
1880273.pcap,malware_ddos
1881242.pcap,malware_ddos
1881967.pcap,malware_ddos
1883827.pcap,PortScan
188399.pcap,BENIGN
1884498.pcap,PortScan
188790.pcap,malware_ddos
1888207.pcap,malware_ddos
1888720.pcap,PortScan
189263.pcap,BENIGN
1893942.pcap,PortScan
189588.pcap,BENIGN
1898750.pcap,PortScan
1900264.pcap,PortScan
190063.pcap,BENIGN
190074.pcap,malware_ddos
190215.pcap,BENIGN
1904804.pcap,malware_ddos
1907904.pcap,PortScan
190846.pcap,BENIGN
1909105.pcap,malware_ddos
1909529.pcap,PortScan
1910739.pcap,PortScan
191113.pcap,BENIGN
191237.pcap,BENIGN
191422.pcap,BENIGN
191550.pcap,BENIGN
1916205.pcap,PortScan
191663.pcap,BENIGN
1916733.pcap,PortScan
191697.pcap,BENIGN
19174.pcap,BENIGN
1922013.pcap,malware_ddos
1923769.pcap,malware_ddos
1924014.pcap,PortScan
1924742.pcap,PortScan
1925275.pcap,PortScan
1926643.pcap,PortScan
1927725.pcap,PortScan
1928360.pcap,PortScan
1928843.pcap,PortScan
1929608.pcap,PortScan
193234.pcap,BENIGN
1932510.pcap,malware_ddos
193306.pcap,BENIGN
193379.pcap,BENIGN
1934216.pcap,PortScan
1936600.pcap,PortScan
193701.pcap,BENIGN
193739.pcap,BENIGN
1940439.pcap,PortScan
1944298.pcap,malware_ddos
194490.pcap,malware_ddos
1948656.pcap,PortScan
1950747.pcap,malware_ddos
1952019.pcap,malware_ddos
1952516.pcap,malware_ddos
195311.pcap,BENIGN
195414.pcap,BENIGN
195558.pcap,BENIGN
195595.pcap,BENIGN
195602.pcap,PortScan
195616.pcap,BENIGN
195677.pcap,BENIGN
1958495.pcap,PortScan
195900.pcap,BENIGN
19616.pcap,BENIGN
196288.pcap,PortScan
196319.pcap,BENIGN
1966163.pcap,PortScan
1967209.pcap,PortScan
1967328.pcap,malware_ddos
1968226.pcap,malware_ddos
196832.pcap,BENIGN
196938.pcap,BENIGN
1970832.pcap,malware_ddos
197160.pcap,BENIGN
1972119.pcap,PortScan
1973235.pcap,malware_ddos
197445.pcap,BENIGN
197547.pcap,BENIGN
1975795.pcap,PortScan
1977136.pcap,malware_ddos
1979045.pcap,PortScan
1979294.pcap,malware_ddos
1981520.pcap,malware_ddos
1982336.pcap,malware_ddos
198252.pcap,BENIGN
1983070.pcap,PortScan
1983572.pcap,PortScan
1984355.pcap,malware_ddos
1985230.pcap,malware_ddos
1985438.pcap,malware_ddos
199082.pcap,PortScan
1991651.pcap,PortScan
199418.pcap,BENIGN
1994634.pcap,malware_ddos
1996970.pcap,malware_ddos
199738.pcap,malware_ddos
1999586.pcap,PortScan
2000206.pcap,PortScan
200036.pcap,BENIGN
200348.pcap,BENIGN
2007.pcap,BENIGN
2008084.pcap,PortScan
2008938.pcap,malware_ddos
2009040.pcap,PortScan
2010030.pcap,PortScan
2010384.pcap,malware_ddos
2012000.pcap,malware_ddos
2014077.pcap,PortScan
2016996.pcap,malware_ddos
2017039.pcap,malware_ddos
2017040.pcap,malware_ddos
2017041.pcap,malware_ddos
2017042.pcap,malware_ddos
2017043.pcap,malware_ddos
2017044.pcap,malware_ddos
2017045.pcap,malware_ddos
2017046.pcap,malware_ddos
2017047.pcap,malware_ddos
2017048.pcap,malware_ddos
2017049.pcap,malware_ddos
2017050.pcap,malware_ddos
2017051.pcap,malware_ddos
2017052.pcap,malware_ddos
2017053.pcap,malware_ddos
2017054.pcap,malware_ddos
2017055.pcap,malware_ddos
2017056.pcap,malware_ddos
2017057.pcap,malware_ddos
2017058.pcap,malware_ddos
2017059.pcap,malware_ddos
2017060.pcap,malware_ddos
2017061.pcap,malware_ddos
2017062.pcap,malware_ddos
2017063.pcap,malware_ddos
2017064.pcap,malware_ddos
2017065.pcap,malware_ddos
2017066.pcap,malware_ddos
2017067.pcap,malware_ddos
2017068.pcap,malware_ddos
2017069.pcap,malware_ddos
2017070.pcap,malware_ddos
2017071.pcap,malware_ddos
2017072.pcap,malware_ddos
2017073.pcap,malware_ddos
2017074.pcap,malware_ddos
2017075.pcap,malware_ddos
2017076.pcap,malware_ddos
2017077.pcap,malware_ddos
2017078.pcap,malware_ddos
2017080.pcap,malware_ddos
2017081.pcap,malware_ddos
2017082.pcap,malware_ddos
2017083.pcap,malware_ddos
2017084.pcap,malware_ddos
2017085.pcap,malware_ddos
2017086.pcap,malware_ddos
2017087.pcap,malware_ddos
2017088.pcap,malware_ddos
2017089.pcap,malware_ddos
2017090.pcap,malware_ddos
2017091.pcap,malware_ddos
2017092.pcap,malware_ddos
2017093.pcap,malware_ddos
2017094.pcap,malware_ddos
2017095.pcap,malware_ddos
2017096.pcap,malware_ddos
2017097.pcap,malware_ddos
2017098.pcap,malware_ddos
2017099.pcap,malware_ddos
2017100.pcap,malware_ddos
2017101.pcap,malware_ddos
2017102.pcap,malware_ddos
2017103.pcap,malware_ddos
2017104.pcap,malware_ddos
2017105.pcap,malware_ddos
2017106.pcap,malware_ddos
2017119.pcap,malware_ddos
2017202.pcap,malware_ddos
2017455.pcap,malware_ddos
2017487.pcap,malware_ddos
2017743.pcap,malware_ddos
2017856.pcap,malware_ddos
2017950.pcap,malware_ddos
2018071.pcap,malware_ddos
2018167.pcap,malware_ddos
2018234.pcap,malware_ddos
2018281.pcap,malware_ddos
2018295.pcap,malware_ddos
2018297.pcap,malware_ddos
2018528.pcap,malware_ddos
2018534.pcap,malware_ddos
2018571.pcap,malware_ddos
2018683.pcap,malware_ddos
2018796.pcap,malware_ddos
2018808.pcap,malware_ddos
2018820.pcap,malware_ddos
2018975.pcap,malware_ddos
2019143.pcap,malware_ddos
2019247.pcap,malware_ddos
2019476.pcap,malware_ddos
2019573.pcap,malware_ddos
2019810.pcap,malware_ddos
2019855.pcap,malware_ddos
2020033.pcap,malware_ddos
2020039.pcap,malware_ddos
2020105.pcap,malware_ddos
2020182.pcap,malware_ddos
2020216.pcap,malware_ddos
2020225.pcap,malware_ddos
2020304.pcap,malware_ddos
2020335.pcap,malware_ddos
2020584.pcap,malware_ddos
2020693.pcap,malware_ddos
2020758.pcap,malware_ddos
2020964.pcap,malware_ddos
2021097.pcap,malware_ddos
2021116.pcap,malware_ddos
2021148.pcap,malware_ddos
2021156.pcap,malware_ddos
2021162.pcap,malware_ddos
2022182.pcap,malware_ddos
2022193.pcap,malware_ddos
2022235.pcap,malware_ddos
2022338.pcap,malware_ddos
2022400.pcap,malware_ddos
2022662.pcap,malware_ddos
2022919.pcap,malware_ddos
2022977.pcap,malware_ddos
202314.pcap,BENIGN
2023392.pcap,malware_ddos
2023964.pcap,malware_ddos
2023994.pcap,malware_ddos
2024095.pcap,malware_ddos
2024157.pcap,malware_ddos
2024271.pcap,malware_ddos
2024454.pcap,malware_ddos
2024625.pcap,malware_ddos
2024634.pcap,malware_ddos
2024714.pcap,malware_ddos
2024778.pcap,malware_ddos
2025152.pcap,malware_ddos
2025220.pcap,malware_ddos
2025309.pcap,malware_ddos
2025508.pcap,malware_ddos
2025566.pcap,malware_ddos
2025632.pcap,malware_ddos
2025772.pcap,malware_ddos
2025778.pcap,malware_ddos
2025874.pcap,malware_ddos
2025879.pcap,malware_ddos
2025934.pcap,malware_ddos
202833.pcap,BENIGN
203243.pcap,BENIGN
203521.pcap,BENIGN
203623.pcap,PortScan
2043720.pcap,malware_ddos
204507.pcap,BENIGN
204687.pcap,BENIGN
2046917.pcap,malware_ddos
2047091.pcap,malware_ddos
2048666.pcap,PortScan
2054430.pcap,PortScan
205517.pcap,BENIGN
2056067.pcap,PortScan
2056255.pcap,PortScan
2057876.pcap,PortScan
2059328.pcap,malware_ddos
2061070.pcap,malware_ddos
206742.pcap,BENIGN
2068402.pcap,PortScan
2069335.pcap,PortScan
2070091.pcap,malware_ddos
207250.pcap,BENIGN
207315.pcap,BENIGN
207365.pcap,BENIGN
2074098.pcap,malware_ddos
2075232.pcap,malware_ddos
207632.pcap,BENIGN
207636.pcap,PortScan
2077152.pcap,PortScan
207717.pcap,BENIGN
207737.pcap,BENIGN
2080619.pcap,malware_ddos
2080865.pcap,PortScan
2081112.pcap,PortScan
208525.pcap,BENIGN
2086094.pcap,PortScan
208783.pcap,BENIGN
208807.pcap,BENIGN
2089566.pcap,PortScan
2089742.pcap,malware_ddos
208990.pcap,BENIGN
209101.pcap,BENIGN
209103.pcap,BENIGN
209152.pcap,BENIGN
2091535.pcap,PortScan
2091713.pcap,malware_ddos
209475.pcap,BENIGN
209477.pcap,BENIGN
209556.pcap,BENIGN
209917.pcap,BENIGN
209939.pcap,BENIGN
2101251.pcap,PortScan
2102205.pcap,malware_ddos
210568.pcap,BENIGN
2105733.pcap,malware_ddos
2106218.pcap,PortScan
2108802.pcap,PortScan
211057.pcap,BENIGN
2111739.pcap,malware_ddos
211252.pcap,malware_ddos
211305.pcap,malware_ddos
2114663.pcap,malware_ddos
2114872.pcap,PortScan
211526.pcap,BENIGN
2115714.pcap,malware_ddos
